paper,target_canonical,target_raw,type,self,executed,polarity,transitive,confidence,section,evidence,ref,doi_or_url
heterogeneous_defect_prediction,Cross-project defect prediction baselines (Zimmermann; Turhan),"CPDP-IFS (He, Li, Ma)",steppingstone,False,True,refutes,False,high,"3.2, 5.3, 6.1",We include CPDP-IFS proposed by He et al. as a baseline [46]. ... the approach by He et al. is not compared with WPDP ... the evaluation might be weak,"[46] P. He, B. Li, and Y. Ma, Towards cross-project defect prediction with imbalanced feature sets, CoRR abs/1411.4228, 2014",http://arxiv.org/abs/1411.4228
heterogeneous_defect_prediction,Cross-project defect prediction baselines (Zimmermann; Turhan),CPDP using common metrics / NN filter (Turhan et al.),steppingstone,True,True,refutes,False,high,5.3,"We conduct CPDP using only common metrics (CPDP-CM) between source and target datasets as in previous CPDP studies [12], [14], [46]","[14] Turhan, Menzies, Bener, Di Stefano, On the relative value of cross-company and within-company data for defect prediction, ESE, 2009",
heterogeneous_defect_prediction,Naive Bayes,Transfer Naive Bayes / common-metric CPDP (Ma et al.),steppingstone,False,True,refutes,False,medium,5.3,"Since using common metrics has been adopted to address the limitation on heterogeneous metric sets in previous CPDP studies [12], [14], [46], we set CPDP-CM as a baseline","[12] Y. Ma, G. Luo, X. Zeng, A. Chen, Transfer learning for cross-company software defect prediction, Inf. Softw. Technol. 54(3), 2012",
heterogeneous_defect_prediction,CCA+ heterogeneous transfer (Jing et al.),CCA+ heterogeneous cross-company defect prediction (Jing et al.),steppingstone,False,False,refutes,False,medium,"3.2, 7",the implementation of CCA+ is not publicly available yet and more complex than HDP ... CCA+ transforms original source and target datasets so that it is difficult to directly explain,"[47] Jing, Wu, Dong, Qi, Xu, Heterogeneous cross-company defect prediction by unified metric representation and cca-based transfer learning, FSE'15",http://doi.acm.org/10.1145/2786805.2786813
heterogeneous_defect_prediction,HDP (Nam & Kim),"HDP conference version (Nam & Kim, FSE 2015)",replication,True,True,supports,False,high,1.3,We extend the previous conference paper of the same name [16] in the following ways.,"[16] J. Nam and S. Kim, Heterogeneous defect prediction, ESEC/FSE 2015, pp. 508-519",http://doi.acm.org/10.1145/2786805.2786814
heterogeneous_defect_prediction,Kolmogorov-Smirnov test,Kolmogorov-Smirnov test (Massey),statmethod,False,True,supports,False,high,4.2.2,KSAnalyzer uses a p-value from the Kolmogorov-Smirnov Test (KS-test) as a matching score between source and target metrics.,"[55] F. J. Massey, The kolmogorov-smirnov test for goodness of fit, JASA 46(253), pp. 68-78, 1951",
heterogeneous_defect_prediction,KS-test applicability without normality (Lilliefors),KS-test applicability without normality (Lilliefors),statmethod,False,True,supports,False,medium,4.2.2,"The KS-test is a non-parametric two sample test that can be applicable when we cannot be sure about the normality of two samples and/or the same variance [55], [58].","[58] H. W. Lilliefors, On the kolmogorov-smirnov test for normality with mean and variance unknown, JASA 62(318), 1967",
heterogeneous_defect_prediction,Rank / linear correlation,Spearman rank correlation,statmethod,False,True,supports,False,high,4.2.3,"In SCoAnalyzer, we used the Spearman's rank correlation coefficient as a matching score for source and target metrics [56].","[56] C. Spearman, The proof and measurement of association between two things, Int. J. Epidemiology 39(5), 2010",
heterogeneous_defect_prediction,Cliff's delta effect size,Cliff's delta with Romano et al. magnitude thresholds,statmethod,False,True,supports,False,high,5.5,"we compute Cliff's delta that is a non-parametric effect size measure [73]. As Romano et al. suggested, we evaluate the magnitude of the effect size as follows: negligible (|d| < 0.147)","[73] J. Romano, J. D. Kromrey, J. Coraggio, J. Skowronek, Appropriate statistics for ordinal level data..., Florida Assoc. Inst. Research, 2006",
heterogeneous_defect_prediction,Wilcoxon / Mann-Whitney test,Wilcoxon signed-rank test,statmethod,False,True,supports,False,high,5.5,we conduct the Wilcoxon signed-rank test (p<0.05) for all AUC values in baselines and HDP [77].,"[77] F. Wilcoxon, Individual Comparisons by Ranking Methods, Biometrics Bulletin 1(6), pp. 80-83, 1945",
