paper,target_canonical,target_raw,type,confidence,section,evidence,ref,doi_or_url
26coffe,"Code-generation benchmarks (HumanEval, MBPP, APPS, CodeContests)",HumanEval benchmark (Chen et al.),dataset,high,III.A Data Preparation,"we collect problems in the test splits of two existing function-level correctness benchmarks (i.e., HumanEval [9] and MBPP [5])","[9] Mark Chen et al. Evaluating large language models trained on code. CoRR, abs/2107.03374, 2021.",abs/2107.03374
26coffe,"Code-generation benchmarks (HumanEval, MBPP, APPS, CodeContests)",MBPP benchmark (Austin et al.),dataset,high,III.A Data Preparation,"we collect problems in the test splits of two existing function-level correctness benchmarks (i.e., HumanEval [9] and MBPP [5])","[5] Jacob Austin et al. Program synthesis with large language models. CoRR, abs/2108.07732, 2021.",abs/2108.07732
26coffe,"Code-generation benchmarks (HumanEval, MBPP, APPS, CodeContests)",MBPP sanitized version (Google),dataset,high,III.A Data Preparation,we choose the common subset of the sanitized version [38] and the MBPP+ benchmark verified by EvalPlus [62] as our base benchmark,"[38] Google. Sanitized version of mbpp benchmark released by google, 2023. https://huggingface.co/datasets/google-research-datasets/mbpp/viewer/sanitized/test.",https://huggingface.co/datasets/google-research-datasets/mbpp/viewer/sanitized/test
26coffe,"Code-generation benchmarks (HumanEval, MBPP, APPS, CodeContests)",MBPP+ / EvalPlus (Liu et al.),dataset,high,III.A Data Preparation,we choose the common subset of the sanitized version [38] and the MBPP+ benchmark verified by EvalPlus [62] as our base benchmark,"[62] Jiawei Liu, Chunqiu Steven Xia, Yuyao Wang, and Lingming Zhang. The mbpp plus benchmark, 2023. https://github.com/evalplus/evalplus/releases/tag/v0.2.1.",https://github.com/evalplus/evalplus/releases/tag/v0.2.1
26coffe,"Code-generation benchmarks (HumanEval, MBPP, APPS, CodeContests)","CodeContests benchmark (AlphaCode, Li et al.)",dataset,high,III.A Data Preparation,"and two existing file-level correctness benchmarks (i.e., APPS [42] and CodeContests [60])","[60] Yujia Li et al. Competition-level code generation with alphacode. Science, 378(6624):1092-1097, 2022.",
26coffe,"Code-generation benchmarks (HumanEval, MBPP, APPS, CodeContests)",APPS benchmark (Hendrycks et al.),dataset,high,III.A Data Preparation,"and two existing file-level correctness benchmarks (i.e., APPS [42] and CodeContests [60])",[42] Dan Hendrycks et al. Measuring coding challenge competence with APPS. NeurIPS Datasets and Benchmarks 2021.,
26coffe,EffiBench / EffiLearner (Huang et al.),Effibench (Huang et al.),dataset,high,V.A RQ1; V.B RQ2,we also evaluate the stability of execution time measurement and CPU instruction count on Effibench [49],"[49] Dong Huang, Jie M. Zhang, Yuhao Qing, and Heming Cui. Effibench: Benchmarking the efficiency of automatically generated code. CoRR, abs/2402.02037, 2024.",abs/2402.02037
26coffe,"Code LLM training sets and models (Magicoder, StarCoder, WizardCoder)",Magicoder-Evol-Instruct-110K training set,dataset,high,VII Leakage Analysis,we collect two training sets for MagicCoder [109]: Magicoder-Evol-Instruct-110K [30] and Magicoder-OSS-Instruct-75K [31],"[30] Downloaded from HuggingFace in Apr 2026. The magicoder-evol-instruct-110k dataset, 2026. https://huggingface.co/datasets/ise-uiuc/Magicoder-Evol-Instruct-110K.",https://huggingface.co/datasets/ise-uiuc/Magicoder-Evol-Instruct-110K
26coffe,"Code LLM training sets and models (Magicoder, StarCoder, WizardCoder)",Magicoder-OSS-Instruct-75K training set,dataset,high,VII Leakage Analysis,we collect two training sets for MagicCoder [109]: Magicoder-Evol-Instruct-110K [30] and Magicoder-OSS-Instruct-75K [31],"[31] Downloaded from HuggingFace in Apr 2026. The magicoder-oss-instruct-75k dataset, 2026. https://huggingface.co/datasets/ise-uiuc/Magicoder-OSS-Instruct-75K.",https://huggingface.co/datasets/ise-uiuc/Magicoder-OSS-Instruct-75K
26coffe,Llama / Code Llama (Meta),Evol-instruction-66k training set (CodeLlama),dataset,high,VII Leakage Analysis,the training set for CodeLlama [95]: Evol-instruction-66k [29],"[29] Downloaded from HuggingFace in Apr 2026. The evol-instruction-66k dataset, 2026. https://huggingface.co/datasets/codefuse-ai/Evol-instruction-66k.",https://huggingface.co/datasets/codefuse-ai/Evol-instruction-66k
26coffe,"Code LLM training sets and models (Magicoder, StarCoder, WizardCoder)",self-oss-instruct-sc2-exec-filter-50k training set (StarCoder),dataset,high,VII Leakage Analysis,the training set for StarCoder [58]: self-oss-instruct-sc2-exec-filter-50k [32],"[32] Downloaded from HuggingFace in Apr 2026. The self-oss-instruct-sc2-exec-filter-50k dataset, 2026. https://huggingface.co/datasets/bigcode/self-oss-instruct-sc2-exec-filter-50k.",https://huggingface.co/datasets/bigcode/self-oss-instruct-sc2-exec-filter-50k
26coffe,"LLM prompting techniques (CoT, Self-refine, OPRO, ...)",Instruction Prompting / TestEval (Wang et al.),steppingstone,high,IV.C Baselines,Instruction Prompting [103]. Wang et al. design several instruction prompt templates... We modified their instruction prompt and let LLMs focus on stressful test case generation.,"[103] Wenhan Wang et al. TESTEVAL: benchmarking large language models for test case generation. CoRR, abs/2406.04531, 2024.",abs/2406.04531
26coffe,"LLM prompting techniques (CoT, Self-refine, OPRO, ...)",Few-shot Prompting test generation (Ouedraogo et al.),steppingstone,high,IV.C Baselines,Few-shot Prompting [86]. Few-shot prompting adds several demonstrations to guide LLMs to generate similar test cases.,"[86] Wendkuuni C. Ouedraogo et al. Large-scale, independent and comprehensive study of the power of llms for test case generation, 2024.",
26coffe,"LLM prompting techniques (CoT, Self-refine, OPRO, ...)",Generator-based Prompting (Liu et al.),steppingstone,high,IV.C Baselines,Generator-based Prompting [64]... We adapt this method to our stressful test case generation and let LLMs generate functions that produce stressful test cases.,"[64] Kaibo Liu et al. Llm-powered test case generation for detecting tricky bugs. CoRR, abs/2404.10304, 2024.",abs/2404.10304
26coffe,PIE (Shypula et al.),PIE in-context learning and chain-of-thought prompts (Shypula et al.),steppingstone,high,IV.C Baselines,In-Context Learning Prompt: We use the same in-context learning prompts from PIE [99]... Chain-of-Thought Prompt: We use the same chain-of-thought prompts from PIE [99].,[99] Alexander G Shypula et al. Learning performance-improving code edits. ICLR 2024.,
26coffe,PIE (Shypula et al.),PIE fine-tuned model (Shypula et al.),steppingstone,high,IV.C Baselines,"PIE [99]: PIE provides a fine-tuning framework for code optimization, we use the model discussed in the paper as our baseline.",[99] Alexander G Shypula et al. Learning performance-improving code edits. ICLR 2024.,
26coffe,"Code-efficiency evaluation conventions (pass@k, TLI, COFFE, SBLLM)",SBLLM (Gao et al.),steppingstone,high,IV.C Baselines,SBLLM [33]: SBLLM is a search-based LLM framework that enables iterative refinement and discovery of improved optimization methods for code optimization.,"[33] Shuzheng Gao, Cuiyun Gao, Wenchao Gu, and Michael Lyu. Search-based llms for code optimization, 2024.",
26coffe,"LLM prompting techniques (CoT, Self-refine, OPRO, ...)",Self-refine (Madaan et al.),steppingstone,high,IV.C Baselines,Self-refine [69]: Self-refine is a prompt refinement approach and has been demonstrated great performance on code optimization.,"[69] Aman Madaan et al. Self-refine: Iterative refinement with self-feedback, 2023.",
26coffe,EffiBench / EffiLearner (Huang et al.),EffiLearner (Huang et al.),steppingstone,high,IV.C Baselines,EffiLearner [47]: EffiLearner is a self-optimization framework that utilizes execution overhead profiles to improve the efficiency of LLM-generated code.,"[47] Dong Huang et al. Effilearner: Enhancing efficiency of generated code via self-optimization, 2024.",
26coffe,DeepSeek models / API,DeepSeek R1 as code-optimization baseline,steppingstone,high,IV.C Baselines,DeepSeek R1 [18]: LLMs with deep thinking abilities... We select DeepSeek R1 to represent the performance of these LLMs on code optimization.,"[18] DeepSeek-AI et al. Deepseek-r1: Incentivizing reasoning capability in llms via reinforcement learning, 2025.",
26coffe,"Code-efficiency evaluation conventions (pass@k, TLI, COFFE, SBLLM)","pass@k metric (Chen et al., Codex)",methodology,high,III.D Time Efficiency Metric,"we propose a new metric named Efficient@k, inspired by the design of pass@k [9]... We follow the idea of pass@k when designing efficient@k.","[9] Mark Chen et al. Evaluating large language models trained on code. CoRR, abs/2107.03374, 2021.",abs/2107.03374
26coffe,PIE (Shypula et al.),PIE difference calculation / 10% filtering (Shypula et al.),methodology,high,III.C.4 Input Level Classification,We follow the difference calculation and filtering method in previous work [99]... The difference is significant if it is larger than 10%,[99] Alexander G Shypula et al. Learning performance-improving code edits. ICLR 2024.,
26coffe,"Code-efficiency evaluation conventions (pass@k, TLI, COFFE, SBLLM)","Test Leakage Indicator, TLI (Wang et al.)",methodology,high,VII.A Problem-level Analysis,We follow previous work [105] and use the Test Leakage Indicator (TLI) to measure potential data leakage.,"[105] Yejie Wang et al. How do your code llms perform? empowering code instruction tuning with high-quality data, 2024.",
26coffe,"Code-efficiency evaluation conventions (pass@k, TLI, COFFE, SBLLM)",COFFE FSE 2025 preliminary version (Peng et al.),methodology,medium,I Introduction,"This paper is an extension of our FSE 2025 paper [90]. Compared with the preliminary version, we further study the robustness","[90] Yun Peng, Jun Wan, Yichen Li, and Xiaoxue Ren. Coffe: A code efficiency benchmark for code generation, 2025.",
26coffe,PIE (Shypula et al.),Shypula et al. 1.91x execution-time variance finding,sanitycheck,high,I Introduction (Challenge 2),Shypula et al. [99] find that two single time measurements of the code solution on the same environment can differ as much as 1.91x.,[99] Alexander G Shypula et al. Learning performance-improving code edits. ICLR 2024.,
26coffe,"Code-efficiency evaluation conventions (pass@k, TLI, COFFE, SBLLM)",Patterson & Hennessy CPU time equation,sanitycheck,high,III.D.1 CPU Instruction Count,Patterson and Hennessy [88] define the CPU time cost by a program through the following equation. CPU Time = [Instruction Count] x [Clock per Instruction] x [Clock Cycle Time],"[88] David A. Patterson and John L. Hennessy. Computer Organization and Design - The Hardware / Software Interface (Revised 4th Edition). Academic Press, 2012.",
26coffe,"Code-generation benchmarks (HumanEval, MBPP, APPS, CodeContests)",Contracts/postconditions aid LLM understanding (Endres et al.; Liu et al. EvalPlus),sanitycheck,medium,III.B.2 Phase I: Contract Generation,"Contracts explicitly indicate the functionality of the target program and the dependencies between inputs, which can help LLM better understand natural language descriptions provided in problems [25], [61]","[25] Endres et al. Can large language models transform natural language intent into formal method postconditions? PACMSE 1(FSE), 2024; [61] Liu et al. NeurIPS 2023.",
26coffe,"Code-generation benchmarks (HumanEval, MBPP, APPS, CodeContests)",Papers with Code APPS / CodeContests leaderboards,sanitycheck,medium,III.A.2 Problem Selection,"the most powerful LLM has a Pass@1 of 28.5% on the Code Contests benchmark and a Pass@1 of less than 10% on the APPS benchmark [110], [111]. This limits the usage of the full set","[110] Papers with Code. The leaderboard of apps benchmark, 2024; [111] The leaderboard of the code contests benchmark, 2024.",https://paperswithcode.com/sota/code-generation-on-apps
26coffe,"Profiling / infra tools (coverage.py, line_profiler, Cirron, Docker)",Coverage.py (Batchelder),software,high,IV.E Implementation Details,We use the Coverage.py [6] library to measure the line coverage of test cases,"[6] Ned Batchelder. The coverage.py library, 2024. https://github.com/nedbat/coveragepy.",https://github.com/nedbat/coveragepy
26coffe,"Profiling / infra tools (coverage.py, line_profiler, Cirron, Docker)",Cirron library,software,high,IV.E Implementation Details,the Cirron [100] library to measure the CPU instruction count a program consumes,"[100] Matt Stuchlik, Bruno P. Kinoshita, and Donald Lee. The cirron library, 2024. https://github.com/s7nfo/Cirron.",https://github.com/s7nfo/Cirron
26coffe,"Profiling / infra tools (coverage.py, line_profiler, Cirron, Docker)",line_profiler (LineProfiler),software,high,III.C.3 Statement-based Input Scale Mutation; IV.E,We run the two test cases on the target program and collect the runtime information with LineProfiler [84].,"[84] The opensource community. Line profiler, 2025. https://github.com/pyutils/line_profiler.",https://github.com/pyutils/line_profiler
26coffe,"Profiling / infra tools (coverage.py, line_profiler, Cirron, Docker)",Docker,software,high,VIII.A Threats to Internal Validity,we conduct all measurements in dockers [23] to ensure that only one single process is running at the same time.,"[23] Docker. Docker, 2024. https://www.docker.com/.",https://www.docker.com/
26coffe,OpenAI GPT models / API,GPT-4o (OpenAI),software,high,IV.C Baselines; IV.D Models,We use GPT-4o [81] as the base model for all prompt engineering baselines to keep a fair comparison.,"[81] OpenAI. Gpt-4o, 2024. https://openai.com/index/hello-gpt-4o/.",https://openai.com/index/hello-gpt-4o/
26coffe,OpenAI GPT models / API,GPT-3.5 / ChatGPT (OpenAI),software,high,IV.D Models,"For GPT-3.5 [79] and GPT-4o [81], we use the APIs provided by OpenAI [82] under engines ""gpt-3.5-turbo"" and ""gpt-4o""","[79] OpenAI. Chatgpt, 2022. https://openai.com/blog/chatgpt.",https://openai.com/blog/chatgpt
26coffe,OpenAI GPT models / API,OpenAI API,software,high,IV.D Models,"we use the APIs provided by OpenAI [82] under engines ""gpt-3.5-turbo"" and ""gpt-4o""","[82] OpenAI. Openai api, 2024. https://openai.com/api/.",https://openai.com/api/
26coffe,DeepSeek models / API,DeepSeek V2 (DeepSeek-AI),software,high,IV.D Models,"For DeepSeek V2 [17] and DeepSeek V2 Coder [122], we use the APIs provided by DeepSeek [16] under engine ""DeepSeek-V2-0628""","[17] DeepSeek-AI et al. Deepseek-v2: A strong, economical, and efficient mixture-of-experts language model. CoRR, abs/2405.04434, 2024.",abs/2405.04434
26coffe,DeepSeek models / API,DeepSeek Coder V2 (Zhu et al.),software,high,IV.D Models,"For DeepSeek V2 [17] and DeepSeek V2 Coder [122], we use the APIs provided by DeepSeek [16]","[122] Qihao Zhu et al. Deepseek-coder-v2: Breaking the barrier of closed-source models in code intelligence. arXiv:2406.11931, 2024.",arXiv:2406.11931
26coffe,DeepSeek models / API,DeepSeek API,software,high,IV.D Models,"we use the APIs provided by DeepSeek [16] under engine ""DeepSeek-V2-0628"" and ""DeepSeek-V2-0724""","[16] DeepSeek. Deepseek api, 2024. https://platform.deepseek.com/.",https://platform.deepseek.com/
26coffe,DeepSeek models / API,DeepSeek V3 (DeepSeek-AI),software,high,V.B RQ2; Table IV,"we sample 20 code solutions from two powerful LLMs, DeepSeek V3 and GPT-4o, for each problem in COFFE","[20] DeepSeek-AI et al. Deepseek-v3 technical report, 2025.",
26coffe,DeepSeek models / API,"DeepSeek R1 (DeepSeek-AI), as evaluated code generator",software,high,V.D RQ4; Table IV,DeepSeek R1 obtains the highest efficient@1 of 54.17% at the function level,"[19] DeepSeek-AI et al. Deepseek-r1: Incentivizing reasoning capability in llms via reinforcement learning, 2025.",
26coffe,"Other open LLMs (Mistral, Qwen, Phi, Gemma)",Codestral (Mistral),software,high,IV.D Models,"For Codestral [72] and Devstral [92], we use the APIs provided by Openrouter [83] under engine ""mistralai/codestral-2508""","[72] Mistral. Codestral blog, 2024. https://mistral.ai/news/codestral.",https://mistral.ai/news/codestral
26coffe,"Other open LLMs (Mistral, Qwen, Phi, Gemma)","Devstral (Rastogi et al., Mistral)",software,high,IV.D Models,"For Codestral [72] and Devstral [92], we use the APIs provided by Openrouter [83]... ""mistralai/devstral-2512""","[92] Abhinav Rastogi et al. Devstral: Fine-tuning language models for coding agent applications, 2025.",
26coffe,"LLM hosting APIs (Deep Infra, OpenRouter)",Openrouter API,software,high,IV.D Models,"we use the APIs provided by Openrouter [83] under engine ""mistralai/codestral-2508"" and ""mistralai/devstral-2512""","[83] Openrouter. Openrouter, 2026. https://openrouter.ai/.",https://openrouter.ai/
26coffe,Claude (Anthropic),Claude 3.5 Sonnet (Anthropic),software,high,IV.D Models,"For Claude 3.5 Sonnect [4], we use the APIs provided by Anthropic [3] under the engine ""claude-3-5-sonnet-20240620"".","[4] Anthropic. Claude 3.5 sonnet, 2024. https://www.anthropic.com/news/claude-3-5-sonnet.",https://www.anthropic.com/news/claude-3-5-sonnet
26coffe,Claude (Anthropic),Anthropic API,software,high,IV.D Models,"we use the APIs provided by Anthropic [3] under the engine ""claude-3-5-sonnet-20240620""","[3] Anthropic. Api reference provided by anthropic, 2024. https://docs.anthropic.com/en/api/getting-started.",https://docs.anthropic.com/en/api/getting-started
26coffe,Gemini (Google),Gemini 1.5 Pro (Google DeepMind),software,high,IV.D Models,"For Gemini 1.5 Pro, we use the APIs provided by Google [39] under the engine ""gemini-1.5-pro"" to generate code solutions.","[15] Deepmind. Gemini 1.5 pro, 2024. https://deepmind.google/technologies/gemini/pro/.",https://deepmind.google/technologies/gemini/pro/
26coffe,Gemini (Google),Google Gemini API,software,high,IV.D Models,"we use the APIs provided by Google [39] under the engine ""gemini-1.5-pro"" to generate code solutions","[39] Google. Api reference provided by google, 2024. https://ai.google.dev/gemini-api/docs/models/gemini.",https://ai.google.dev/gemini-api/docs/models/gemini
26coffe,"LLM hosting APIs (Deep Infra, OpenRouter)",Deep Infra API,software,high,IV.D Models,"for open-source models larger than 13B, we use the API provided by Deep Infra [50] to generate code solutions.","[50] Deep Infra. Deep infra api, 2024. https://deepinfra.com/.",https://deepinfra.com/
26coffe,"Other open LLMs (Mistral, Qwen, Phi, Gemma)",Phi-3 (Abdin et al.),software,high,IV.D Models; Table IV,"we select 19 popular models for evaluation. We show the model names, sizes, and context lengths in Table IV. (Phi3 [1], 3.8B)","[1] Marah I Abdin et al. Phi-3 technical report: A highly capable language model locally on your phone. CoRR, abs/2404.14219, 2024.",abs/2404.14219
26coffe,"Code LLM training sets and models (Magicoder, StarCoder, WizardCoder)",Magicoder (Wei et al.),software,high,IV.D Models; Table IV,"we select 19 popular models for evaluation... (MagicCoder [109], DS-6.7B/CL-7B)","[109] Yuxiang Wei, Zhe Wang, Jiawei Liu, Yifeng Ding, and Lingming Zhang. Magicoder: Source code is all you need. CoRR, abs/2312.02120, 2023.",abs/2312.02120
26coffe,Llama / Code Llama (Meta),Code Llama (Roziere et al.),software,high,IV.D Models; Table IV,"we select 19 popular models for evaluation... (CodeLlama [95], 7B/13B/34B)","[95] Baptiste Roziere et al. Code llama: Open foundation models for code. CoRR, abs/2308.12950, 2023.",abs/2308.12950
26coffe,Llama / Code Llama (Meta),Llama 3 (Meta),software,high,IV.D Models; Table IV,"we select 19 popular models for evaluation... (Llama3 [70], 8B/70B)","[70] Meta. Llama3, 2024. https://ai.meta.com/blog/meta-llama-3/.",https://ai.meta.com/blog/meta-llama-3/
26coffe,Llama / Code Llama (Meta),Llama 3.1 (Meta),software,high,V.D RQ4; Table IV,Llama3.1 obtains the highest efficient@1 of 42.71% at the file level,"[71] Meta. Llama3.1, 2024. https://ai.meta.com/blog/meta-llama-3-1/.",https://ai.meta.com/blog/meta-llama-3-1/
26coffe,"Code LLM training sets and models (Magicoder, StarCoder, WizardCoder)",StarCoder (Li et al.),software,high,IV.D Models; Table IV,"we select 19 popular models for evaluation... (StarCoder [58], 15B)","[58] Raymond Li et al. Starcoder: may the source be with you! CoRR, abs/2305.06161, 2023.",abs/2305.06161
26coffe,"Code LLM training sets and models (Magicoder, StarCoder, WizardCoder)",WizardCoder (Luo et al.),software,high,IV.D Models; Table IV,"we select 19 popular models for evaluation... (WizardCoder [68], 15B)","[68] Ziyang Luo et al. Wizardcoder: Empowering code large language models with evol-instruct. CoRR, abs/2306.08568, 2023.",abs/2306.08568
26coffe,"Other open LLMs (Mistral, Qwen, Phi, Gemma)",Mixtral 8x7B (Jiang et al.),software,high,IV.D Models; Table IV,"we select 19 popular models for evaluation... (Mixtral [51], 8x7B)","[51] Albert Q. Jiang et al. Mixtral of experts. CoRR, abs/2401.04088, 2024.",abs/2401.04088
26coffe,"Other open LLMs (Mistral, Qwen, Phi, Gemma)",Qwen2.5 (Qwen team),software,high,IV.D Models; Table IV,"we select 19 popular models for evaluation... (Qwen2.5 [91], 72B)","[91] Qwen. Qwen2.5 technical report, 2025.",
